First ,Middle,Last,University,Elsevier ID,Comments about Elsevier IDs,Home department,Secondary department (if any),Note:
Neil,Franklin,Abernethy,University of Washington - Seattle,55604135600,,Department of Health Services,,
David,D,Ackerly,Berkeley,7004214819,,Department of Integrative Biology,,
Nick,,Adams,Berkeley,7201727629,,Department of Sociology,,
Deb,A,Agarwal,Berkeley,7202077437,,Data Science and Technology Department,,Lawrence Berkeley National Laboratory
Richard,M,Allen,Berkeley,7404224110,,Department of Earth and Planetary Science,,Berkeley Seismological Laboratory
Cecilia,R,Aragon,University of Washington - Seattle,34881432100,,Department of Human Centered Design & Engineering,,
E,Virginia,Armbrust,University of Washington - Seattle,6701626834,,Department of Biological Oceanography,,School of Oceanography
David,A,Baker,University of Washington - Seattle,55463548900,,Department of Biochemistry,,
Magdalena,,Balazinska,University of Washington - Seattle,22936904400,,Department of Computer Science and Engineering,,
Kyle,,Barbary,Berkeley,16549165900,,Berkeley Center for Cosmological Physics,,
Peter,L,Bartlett,Berkeley,7202466727,,Department of Electrical Engineering and Computer Science,Department of Statistics,
David,A C,Beck,University of Washington - Seattle,55151658000,,Department of Chemical Engineering,eScience Institute,
Luke,,Bergmann,University of Washington - Seattle,36135442500,,Department of Geography,,
E,Wes,Bethel,Berkeley,55666345400,,Data Analytics and Visualization,,Lawrence Berkeley National Laboratory
Jeff,A,Bilmes,University of Washington - Seattle,7003705752,,Department of Electrical Engineering,,
Rahul,,Biswas,University of Washington - Seattle,35236469300,,Department of Astronomy,,
Joshua,S,Bloom,Berkeley,55566574300,,Department of Astronomy,,Lawrence Berkeley National Laboratory
Joshua,E,Blumenstock,University of Washington - Seattle,6602473756,,Information School,,
Carl,,Boettiger,Berkeley,15753693500,,"Department of Environmental Science, Policy and Management",,
Henry,E,Brady,Berkeley,7103088398,,Goldman School of Public Policy,Charles and Louise Travers Department of Political Science,
Kim,Folger,Bruce,University of Washington - Seattle,56706284600,Not sure,Institute of Translational Health Sciences,eScience Institute,
Lauren,,Buckley,University of Washington - Seattle,13409570300,,Department of Biology,,
Matthias,,Bussonnier,Berkeley,56367236700,,Institute for Data Science,,
Charlotte,,Cabasse,Berkeley,NONE,,Institute for Data Science,,
John,,Canny,Berkeley,7005125209,,Department of Electrical Engineering and Computer Science,,
Cathryn,E,Carson,Berkeley,11040842000,,Department of History,School of Information,
Alvin,,Cheung,University of Washington - Seattle,51663204600,,Department of Computer Science and Engineering,,
Garret,,Christensen,Berkeley,55863443600,,Center for Effective Global Action,,
John,,Chuang,Berkeley,7201692538,,School of Information,,
Dav,,Clark,Berkeley,7404788512,,School of Information,,
Samuel,,Clark,University of Washington - Seattle,8838786400,,Department of Sociology,,
Sophie,,Clayton,University of Washington - Seattle,26638612300,,Department of Biological Oceanography,,School of Oceanography
Andy,J,Connolly,University of Washington - Seattle,55252898300,,Department of Astronomy,,
Thiago,B,Costa,University of Washington - Seattle,15063937600,,Department of Statistics,,
Chihoko,,Cullens,Berkeley,56568370600,,Space Sciences Laboratory,,
David,E,Culler,Berkeley,7004874505,,Department of Electrical Engineering and Computer Science,,
Valerie,,Daggett,University of Washington - Seattle,7006220926,,Department of Bioengineering,,
Thomas,L,Daniel,University of Washington - Seattle,7201677078,,Department of Biology,,
Neil,,Davies,Berkeley,17134891800,Not sure about this one,Richard B. Gump Moorea Field Station,,
John,,Delaney,University of Washington - Seattle,7103303554,,Department of Marine Geology and Geophysics,,School of Oceanography
Curtis,A,Deutsch,University of Washington - Seattle,24331435900,,Department of Chemical Oceanography,,School of Oceanography
Cyrus,,Dioun,Berkeley,NONE,,Department of Sociology,,
Sandrine,,Dudoit,Berkeley,6602862447,,Department of Statistics,,
Mark,,Ellis,University of Washington - Seattle,7402181546,,Department of Geography,,
Elena,A,Erosheva,University of Washington - Seattle,6508062729,,Department of Statistics,,
Adrienne,L,Fairhall,University of Washington - Seattle,6602928622,,Department of Physiology and Biophysics,,
Maryam,,Fazel,University of Washington - Seattle,6603356372,,Department of Electrical Engineering,,
