,First Name,Last Name,Query_text,Arxiv-id,Time,Subject,Count,Inst_Count,Raw_Count,Arxiv_id,Contributor_0,Contributor_1,Contributor_2,Contributor_3,Contributor_4,Contributor_5,Contributor_6,Contributor_7,Contributor_8,Contributor_10,Contributor_9,Contributor_11,Contributor_12,Contributor_13,Contributor_14,Contributor_15,Contributor_16,Contributor_17,Contributor_18,Contributor_19,Contributor_20,Contributor_21,Contributor_22,Contributor_23,Contributor_24,Contributor_25,Contributor_26,Contributor_27,Contributor_28,Contributor_29,Contributor_30,Contributor_31,Contributor_32,Contributor_33,Contributor_34,Contributor_35,Contributor_36,Contributor_37,Contributor_38,Contributor_39,Contributor_40,Contributor_41,Contributor_42,Contributor_43,Contributor_44,Contributor_45,Contributor_46,Contributor_47,Contributor_48,Contributor_49,Contributor_50,Contributor_51,Contributor_52,Contributor_53,Contributor_54,Contributor_55,Contributor_56,Contributor_57,Contributor_58,Contributor_59,Contributor_60,Contributor_61,Contributor_62,Contributor_63,Contributor_64,Contributor_65,Contributor_66,Contributor_67,Contributor_68,Contributor_69,Contributor_70,Contributor_71,Contributor_72,Contributor_73,Contributor_74,Contributor_75,Contributor_100,Contributor_101,Contributor_102,Contributor_103,Contributor_104,Contributor_105,Contributor_106,Contributor_107,Contributor_108,Contributor_109,Contributor_110,Contributor_111,Contributor_112,Contributor_113,Contributor_114,Contributor_115,Contributor_116,Contributor_117,Contributor_118,Contributor_119,Contributor_120,Contributor_121,Contributor_122,Contributor_123,Contributor_124,Contributor_125,Contributor_126,Contributor_127,Contributor_128,Contributor_129,Contributor_130,Contributor_131,Contributor_132,Contributor_133,Contributor_134,Contributor_135,Contributor_136,Contributor_137,Contributor_138,Contributor_139,Contributor_140,Contributor_141,Contributor_142,Contributor_143,Contributor_144,Contributor_145,Contributor_146,Contributor_147,Contributor_148,Contributor_149,Contributor_150,Contributor_151,Contributor_152,Contributor_153,Contributor_154,Contributor_155,Contributor_156,Contributor_157,Contributor_158,Contributor_159,Contributor_160,Contributor_161,Contributor_162,Contributor_163,Contributor_164,Contributor_76,Contributor_77,Contributor_78,Contributor_79,Contributor_80,Contributor_81,Contributor_82,Contributor_83,Contributor_84,Contributor_85,Contributor_86,Contributor_87,Contributor_88,Contributor_89,Contributor_90,Contributor_91,Contributor_92,Contributor_93,Contributor_94,Contributor_95,Contributor_96,Contributor_97,Contributor_98,Contributor_99,Contributor_165,Contributor_166,Contributor_167,Contributor_168,Contributor_169,Contributor_170,Contributor_171,Contributor_172,Contributor_173,Contributor_174,Contributor_175,Contributor_176,Contributor_177,Contributor_178,Contributor_179,Contributor_180,Contributor_181,Contributor_182,Contributor_183,Contributor_184,Contributor_185,Contributor_186,Contributor_187,Contributor_188,Contributor_189,Contributor_190,Contributor_191,Contributor_192,Contributor_193,Contributor_194,Contributor_195,Contributor_196,Contributor_197,Contributor_198,Contributor_199
0,David,Hogg,Hogg_D,,1999-05-11,[astro-ph],182.0,134.0,183.0,astro-ph/9905116v4,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,David,Hogg,Hogg_D,,2000-01-25,[astro-ph],182.0,134.0,183.0,astro-ph/0001419v3,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,David,Hogg,Hogg_D,,2000-04-04,[astro-ph],182.0,134.0,183.0,astro-ph/0004054v2,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,David,Hogg,Hogg_D,,2001-05-16,[astro-ph],182.0,134.0,183.0,astro-ph/0105280v2,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,David,Hogg,Hogg_D,,2005-12-01,[astro-ph],182.0,134.0,183.0,astro-ph/0512029v1,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,David,Hogg,Hogg_D,,2006-09-19,[physics.ed-ph],182.0,134.0,183.0,physics/0609156v1,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,David,Hogg,Hogg_D,,2007-09-02,[physics.ed-ph],182.0,134.0,183.0,0709.0107v1,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,David,Hogg,Hogg_D,,2008-07-30,"[physics.data-an, astro-ph]",182.0,134.0,183.0,0807.4820v1,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,David,Hogg,Hogg_D,,2009-10-18,[astro-ph.CO],182.0,134.0,183.0,0910.3374v1,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,David,Hogg,Hogg_D,,2012-01-16,"[astro-ph.CO, astro-ph.IM]",182.0,134.0,183.0,1201.3370v2,P. Tsalmantza,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,David,Hogg,Hogg_D,,2012-05-20,"[physics.data-an, astro-ph.IM]",182.0,134.0,183.0,1205.4446v1,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,David,Hogg,Hogg_D,,1993-11-30,[astro-ph],182.0,134.0,183.0,astro-ph/9311077v1,David W. Hogg,R. D. Blandford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,David,Hogg,Hogg_D,,1997-06-07,[astro-ph],182.0,134.0,183.0,astro-ph/9706068v1,Nahum Arav,David W. Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,David,Hogg,Hogg_D,,1997-08-20,[astro-ph],182.0,134.0,183.0,astro-ph/9708177v1,David W. Hogg,E. S. Phinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
